City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,aureliana,10.89,121.98,79.2,73,90,4.34,PH,1585692931
1,bethel,41.37,-73.41,48.2,61,90,6.93,US,1585692931
2,faget,45.85,22.18,27.0,79,94,5.82,RO,1585692932
3,mataura,-46.19,168.86,53.01,98,23,1.9,NZ,1585692932
4,hervey bay,-25.3,152.85,73.99,94,20,6.93,AU,1585692932
5,samarai,-10.62,150.67,79.43,83,99,6.04,PG,1585692933
6,namibe,-15.2,12.15,73.96,71,17,9.08,AO,1585692933
7,punta arenas,-53.15,-70.92,53.6,66,40,10.29,CL,1585692933
8,thompson,55.74,-97.86,21.2,67,75,20.8,CA,1585692934
9,cidreira,-30.18,-50.21,74.84,81,99,13.53,BR,1585692935
10,petauke,-14.24,31.33,63.39,62,2,3.42,ZM,1585692935
11,arraial do cabo,-22.97,-42.03,78.8,83,75,9.17,BR,1585692936
12,nikolskoye,59.7,30.79,30.99,74,75,8.95,RU,1585692936
13,new norfolk,-42.78,147.06,62.01,81,20,3.36,AU,1585692936
14,rikitea,-23.12,-134.97,78.69,73,100,8.08,PF,1585692936
15,galveston,29.37,-94.97,77.0,47,1,18.34,US,1585692927
16,saint-philippe,-21.36,55.77,77.0,83,75,9.17,RE,1585692692
17,bundaberg,-24.85,152.35,69.8,94,8,6.93,AU,1585692937
18,camargo,27.67,-105.17,79.61,9,96,4.61,MX,1585692937
19,marsa matruh,31.35,27.25,59.0,77,0,11.41,EG,1585692938
20,virginia beach,36.85,-75.98,48.99,87,90,11.41,US,1585692814
21,saskylakh,71.92,114.08,-6.92,89,96,13.18,RU,1585692939
22,tuktoyaktuk,69.45,-133.04,8.6,60,40,19.46,CA,1585692939
23,bambous virieux,-20.34,57.76,78.01,94,75,9.48,MU,1585692939
24,vaini,-21.2,-175.2,82.4,83,40,9.17,TO,1585692940
25,airai,-8.93,125.41,60.51,71,92,1.12,TL,1585692940
26,atuona,-9.8,-139.03,82.18,80,1,15.46,PF,1585692940
27,ballina,-28.87,153.57,71.01,94,40,6.93,AU,1585692940
28,codrington,-38.27,141.97,56.68,84,4,7.27,AU,1585692941
29,jamestown,42.1,-79.24,45.0,81,90,8.05,US,1585692655
30,letlhakeng,-24.09,25.03,71.15,36,100,6.15,BW,1585692941
31,sobolevo,54.43,31.9,26.31,80,23,6.04,RU,1585692941
32,husavik,66.04,-17.34,39.2,60,90,35.57,IS,1585692942
33,barrow,71.29,-156.79,12.2,66,1,17.22,US,1585692942
34,loreto,22.27,-101.97,78.44,20,85,12.97,MX,1585692942
35,cape town,-33.93,18.42,63.0,67,20,18.34,ZA,1585692796
36,matara,5.95,80.54,75.16,87,5,6.13,LK,1585692943
37,lebu,-37.62,-73.65,58.98,69,1,18.77,CL,1585692943
38,mayumba,-3.43,10.66,80.6,84,27,7.05,GA,1585692944
39,ponta do sol,32.67,-17.1,59.0,67,20,16.11,PT,1585692944
40,ushuaia,-54.8,-68.3,50.0,71,75,6.93,AR,1585692944
41,hithadhoo,-0.6,73.08,83.03,70,50,9.71,MV,1585692945
42,popondetta,-8.75,148.25,77.54,82,100,3.09,PG,1585692945
43,ogaminana,7.59,6.22,82.17,70,99,7.81,NG,1585692945
44,williamsport,41.24,-77.0,48.2,81,90,4.7,US,1585692945
45,qaanaaq,77.48,-69.36,7.83,73,91,2.84,GL,1585692946
46,hessisch oldendorf,52.17,9.25,33.8,91,0,2.24,DE,1585692946
47,rio gallegos,-51.62,-69.22,62.6,33,40,17.22,AR,1585692860
48,chokurdakh,70.63,147.92,-6.36,91,90,5.44,RU,1585692946
49,bengkulu,-3.8,102.27,77.41,81,100,3.33,ID,1585692947
50,ixtapa,20.7,-105.2,81.0,74,40,11.41,MX,1585692947
51,dawson creek,55.77,-120.24,10.4,72,75,6.93,CA,1585692947
52,ismailia,30.6,32.27,63.27,58,0,12.19,EG,1585692887
53,lagoa,39.05,-27.98,57.34,68,100,27.65,PT,1585692948
54,bonavista,48.65,-53.11,34.0,84,100,1.99,CA,1585692948
55,albany,42.6,-73.97,48.2,69,75,5.82,US,1585692780
56,ambon,-3.7,128.18,82.83,74,53,6.67,ID,1585692949
57,chuy,-33.7,-53.46,69.28,72,84,14.67,UY,1585692949
58,georgetown,5.41,100.34,82.4,88,20,3.76,MY,1585692949
59,puerto ayora,-0.74,-90.35,82.4,69,20,6.93,EC,1585692949
60,bredasdorp,-34.53,20.04,64.4,59,28,5.82,ZA,1585692950
61,tasiilaq,65.61,-37.64,26.6,32,2,25.28,GL,1585692950
62,salalah,17.02,54.09,80.6,88,20,4.7,OM,1585692950
63,kapaa,22.08,-159.32,75.2,73,40,13.87,US,1585692951
64,half moon bay,37.46,-122.43,71.01,63,20,12.75,US,1585692951
65,axim,4.87,-2.24,81.32,86,62,6.91,GH,1585692951
66,coquimbo,-29.95,-71.34,62.6,82,40,13.87,CL,1585692952
67,belaya gora,68.53,146.42,2.93,93,100,2.91,RU,1585692952
68,hermanus,-34.42,19.23,62.01,85,46,14.76,ZA,1585692952
69,avarua,-21.21,-159.78,86.0,79,75,9.75,CK,1585692953
70,saint george,37.1,-113.58,69.8,26,1,5.82,US,1585692821
71,east london,-33.02,27.91,68.85,84,100,20.4,ZA,1585692953
72,los llanos de aridane,28.66,-17.92,66.2,72,20,5.82,ES,1585692953
73,ise,34.48,136.7,55.0,93,75,4.7,JP,1585692953
74,pevek,69.7,170.31,-0.89,92,49,4.16,RU,1585692954
75,severo-kurilsk,50.68,156.12,35.1,85,100,15.08,RU,1585692954
76,asosa,10.07,34.53,74.77,12,4,3.58,ET,1585692954
77,cheyenne,41.14,-104.82,66.0,19,20,27.51,US,1585692955
78,carnarvon,-24.87,113.63,68.0,82,96,10.29,AU,1585692955
79,stokmarknes,68.56,14.91,33.01,74,100,4.0,NO,1585692955
80,leningradskiy,69.38,178.42,7.57,91,13,5.39,RU,1585692956
81,flinders,-34.58,150.86,71.01,100,75,3.36,AU,1585692956
82,marystown,47.17,-55.15,38.12,97,92,12.55,CA,1585692957
83,souillac,-20.52,57.52,78.01,94,75,6.2,MU,1585692957
84,lorengau,-2.02,147.27,81.73,83,86,10.89,PG,1585692958
85,waingapu,-9.66,120.26,78.12,76,73,3.62,ID,1585692958
86,vostok,46.49,135.88,29.75,80,100,4.25,RU,1585692713
87,road town,18.42,-64.62,78.01,75,0,5.99,VG,1585692959
88,kaitangata,-46.28,169.85,54.0,90,2,1.99,NZ,1585692959
89,hirara,24.8,125.28,73.4,94,75,5.82,JP,1585692960
90,inhambane,-23.86,35.38,74.14,70,0,9.1,MZ,1585692960
91,owosso,43.0,-84.18,43.0,80,90,10.29,US,1585692960
92,busselton,-33.65,115.33,54.0,74,98,6.24,AU,1585692961
93,tommot,58.96,126.29,19.83,92,100,12.28,RU,1585692961
94,humboldt,40.67,-123.92,53.01,93,75,11.41,US,1585692961
95,gat,31.61,34.76,62.6,72,20,10.29,IL,1585692961
96,charters towers,-20.1,146.27,67.84,84,0,5.46,AU,1585692961
97,yar-sale,66.83,70.83,7.77,92,25,8.59,RU,1585692962
98,port elizabeth,-33.92,25.57,62.6,77,26,19.46,ZA,1585692962
99,ilulissat,69.22,-51.1,3.2,65,97,17.22,GL,1585692963
100,pisco,-13.7,-76.22,71.6,30,75,5.82,PE,1585692963
101,cayenne,4.93,-52.33,80.6,83,90,8.05,GF,1585692963
102,diego de almagro,-26.37,-70.05,80.2,23,0,11.39,CL,1585692963
103,maneadero,31.72,-116.57,63.0,85,100,4.0,MX,1585692964
104,tambopata,-12.73,-69.18,86.27,61,98,3.42,PE,1585692964
105,ludvika,60.15,15.19,42.01,64,97,10.29,SE,1585692964
106,butaritari,3.07,172.79,83.55,78,82,18.19,KI,1585692965
107,tiksi,71.69,128.87,-5.22,87,100,4.23,RU,1585692965
108,hobart,-42.88,147.33,61.0,81,20,3.36,AU,1585692697
109,kyren,51.68,102.14,31.75,57,49,6.38,RU,1585692965
110,rahimatpur,17.6,74.2,78.71,33,33,2.89,IN,1585692966
111,mar del plata,-38.0,-57.56,64.99,59,40,11.41,AR,1585692966
112,onda,39.97,-0.25,55.4,82,75,9.17,ES,1585692944
113,rudnichnyy,59.62,52.47,23.11,96,100,8.19,RU,1585692967
114,faanui,-16.48,-151.75,82.45,77,0,11.14,PF,1585692967
115,vuktyl,63.86,57.31,13.53,92,99,2.3,RU,1585692968
116,hasaki,35.73,140.83,52.0,93,75,4.7,JP,1585692968
117,cockburn town,21.46,-71.14,77.14,68,0,9.75,TC,1585692968
118,tigil,57.8,158.67,22.57,95,100,9.06,RU,1585692968
119,puerto baquerizo moreno,-0.9,-89.6,86.0,70,20,6.93,EC,1585692969
120,nguru,12.88,10.45,87.55,20,82,4.61,NG,1585692969
121,slave lake,55.28,-114.77,6.8,77,90,14.99,CA,1585692970
122,omboue,-1.57,9.26,80.37,85,34,7.07,GA,1585692970
123,boyolangu,-8.12,111.89,76.96,82,100,1.19,ID,1585692970
